,Amino acid metabolism,Biosynthesis of other secondary metabolites,Carbohydrate metabolism,Chemical structure transformation maps,Energy metabolism,Global and overview maps,Glycan biosynthesis and metabolism,Lipid metabolism,Metabolism of cofactors and vitamins,Metabolism of other amino acids,Metabolism of terpenoids and polyketides,Nucleotide metabolism,Xenobiotics biodegradation and metabolism
86,ec:6.3.4.5,,ec:3.1.3.11,,ec:1.1.1.35,ec:2.1.1.201,,ec:2.4.1.80,ec:2.5.1.17,,,ec:1.3.98.1,
87,ec:2.7.2.8,,ec:4.1.2.19,,ec:2.6.1.2,ec:1.4.3.5,,ec:5.3.99.3,ec:2.8.1.6,,,,
88,ec:4.3.1.17,,ec:3.1.1.31,,ec:4.1.1.31,ec:1.12.98.2,,ec:2.4.1.46,ec:3.1.3.2,,,,
89,ec:2.1.1.37,,ec:5.3.1.6,,ec:3.1.3.7,ec:1.5.98.2,,ec:5.3.99.6,ec:1.16.3.1,,,,
90,ec:2.3.1.31,,ec:6.4.1.2,,ec:1.1.1.95,ec:1.1.1.302,,ec:3.1.1.5,ec:6.3.3.2,,,,
91,ec:4.3.1.3,,ec:1.1.1.22,,ec:4.1.2.9,ec:1.12.98.1,,ec:2.3.1.23,ec:2.7.1.50,,,,
92,ec:4.3.2.1,,ec:1.1.1.271,,ec:3.6.3.6,ec:1.2.1.72,,ec:3.1.3.81,ec:2.5.1.3,,,,
93,ec:3.4.11.5,,ec:5.3.1.26,,ec:4.2.1.1,ec:1.4.1.14,,ec:3.6.1.16,ec:2.4.1.17,,,,
94,ec:4.2.1.17,,ec:5.1.3.9,,ec:1.8.1.2,ec:1.14.11.2,,ec:3.1.4.2,ec:2.7.7.77,,,,
95,ec:2.3.1.46,,ec:4.1.1.32,,ec:1.7.1.15,ec:1.1.1.35,,ec:1.3.8.9,ec:1.2.1.70,,,,
96,ec:3.5.99.7,,ec:5.3.1.12,,ec:1.8.5.3,ec:1.1.99.1,,ec:2.3.1.25,ec:2.1.2.10,,,,
