,Amino acid metabolism,Biosynthesis of other secondary metabolites,Carbohydrate metabolism,Chemical structure transformation maps,Energy metabolism,Global and overview maps,Glycan biosynthesis and metabolism,Lipid metabolism,Metabolism of cofactors and vitamins,Metabolism of other amino acids,Metabolism of terpenoids and polyketides,Nucleotide metabolism,Xenobiotics biodegradation and metabolism
18,ec:1.1.1.25,ec:5.1.3.13,ec:1.3.5.1,,ec:2.7.2.3,ec:1.1.1.23,ec:3.5.1.108,ec:1.3.1.9,ec:3.1.3.1,ec:1.11.1.15,ec:4.6.1.12,ec:5.4.2.2,ec:3.5.1.5
19,ec:4.2.1.20,ec:1.1.1.133,ec:2.3.1.222,,ec:1.7.99.1,ec:1.1.1.86,ec:2.7.7.38,ec:2.3.1.16,ec:1.5.1.3,ec:6.3.2.2,ec:1.1.1.35,ec:2.7.1.48,ec:2.4.1.17
20,ec:2.6.1.16,ec:2.7.2.11,ec:2.4.1.21,,ec:1.6.5.11,ec:1.1.1.37,ec:5.3.1.28,ec:2.3.1.9,ec:6.3.2.1,ec:1.2.1.3,ec:1.13.11.51,ec:2.4.2.9,ec:1.2.7.1
21,ec:1.4.1.13,ec:4.1.3.27,ec:2.6.1.16,,ec:1.2.7.3,ec:1.5.1.3,ec:3.6.1.54,ec:1.1.1.100,ec:2.7.4.3,ec:1.1.1.44,ec:5.5.1.19,ec:2.7.4.3,ec:2.7.4.6
22,ec:4.2.1.109,ec:2.7.7.4,ec:2.7.6.1,,ec:5.4.2.12,ec:1.2.1.59,ec:2.5.1.55,ec:1.2.1.3,ec:1.1.1.1,ec:3.5.1.2,ec:2.3.3.10,ec:2.4.2.1,ec:1.18.6.1
23,ec:2.6.1.83,ec:3.1.3.25,ec:5.1.3.2,,ec:5.3.1.1,ec:1.8.1.4,ec:3.2.1.49,ec:6.4.1.2,ec:2.4.2.1,ec:4.2.1.17,ec:4.2.3.61,ec:3.5.2.17,ec:3.8.1.5
24,ec:1.11.1.6,ec:2.7.1.1,ec:1.11.1.6,,ec:2.7.9.1,ec:1.1.1.18,ec:2.4.99.18,ec:4.2.1.17,ec:2.2.1.7,ec:1.17.4.1,ec:2.5.1.10,ec:2.7.7.8,ec:1.1.1.35
25,ec:1.1.1.85,ec:2.6.1.5,ec:3.2.1.4,,ec:1.4.1.4,ec:1.2.1.12,ec:2.4.1.255,ec:2.4.1.315,ec:2.5.1.15,ec:3.4.11.23,ec:2.5.1.29,ec:4.2.1.70,ec:1.14.14.1
26,ec:4.1.1.20,ec:4.3.1.24,ec:2.3.1.8,,ec:1.1.1.37,ec:1.1.1.1,ec:5.1.3.20,ec:4.2.1.59,ec:1.1.1.290,ec:4.4.1.16,ec:5.2.1.14,ec:2.4.2.10,ec:2.5.1.18
27,ec:2.2.1.6,ec:1.14.14.1,ec:4.1.1.3,,ec:1.2.1.59,ec:1.1.1.267,ec:3.2.1.113,ec:2.5.1.41,ec:4.2.1.9,ec:2.7.7.4,ec:2.7.4.2,ec:3.1.3.5,ec:1.3.1.2
28,ec:1.1.1.27,ec:2.3.1.5,ec:1.1.1.38,,ec:6.2.1.5,ec:1.4.4.2,ec:2.4.1.155,ec:2.7.7.41,ec:3.1.3.5,ec:4.1.1.15,ec:1.14.14.17,ec:3.6.1.23,ec:1.1.1.2
29,ec:4.3.2.2,ec:1.11.1.7,ec:2.7.2.3,,ec:1.2.1.12,ec:1.1.1.290,ec:3.2.1.35,ec:2.7.7.67,ec:1.1.1.262,ec:2.7.9.3,ec:2.5.1.21,ec:6.3.4.2,ec:2.3.1.5
30,ec:5.4.2.12,ec:1.3.1.12,ec:1.1.1.27,,ec:6.3.1.2,ec:1.1.1.49,ec:2.7.1.167,ec:2.7.1.31,ec:2.8.1.4,ec:2.5.1.16,ec:3.4.24.84,ec:6.3.4.13,ec:3.5.1.4
31,ec:3.5.1.1,ec:1.14.11.9,ec:2.7.1.16,,ec:4.1.1.49,ec:1.1.1.58,ec:2.7.7.70,ec:1.3.8.1,ec:2.7.1.24,ec:6.1.1.13,ec:5.3.99.8,ec:6.3.4.4,ec:3.5.1.6
32,ec:1.4.1.4,ec:2.7.1.2,ec:1.2.7.3,,ec:2.1.1.86,ec:1.1.1.3,ec:2.4.1.259,ec:2.4.1.17,ec:2.7.1.35,ec:1.11.1.9,ec:1.3.5.5,ec:2.7.1.21,ec:3.7.1.17
33,ec:1.1.1.23,ec:2.1.1.68,ec:4.1.2.14,,ec:1.18.1.2,ec:2.1.1.86,ec:2.4.1.261,ec:1.11.1.9,ec:6.3.4.20,ec:5.4.3.5,ec:2.5.1.1,ec:2.7.4.9,ec:1.2.3.1
34,ec:1.1.1.86,ec:3.2.1.31,ec:3.2.1.1,,ec:1.1.1.42,ec:1.2.1.41,ec:2.4.1.198,ec:3.1.1.3,ec:3.5.4.25,ec:4.1.1.11,ec:2.5.1.32,ec:2.4.2.8,ec:1.13.11.5
35,ec:1.1.1.37,ec:4.1.1.25,ec:5.4.2.12,,ec:5.4.99.2,ec:1.1.1.262,ec:2.4.1.69,ec:2.5.1.42,ec:4.1.99.12,ec:1.4.1.1,ec:1.3.1.28,ec:1.3.1.14,ec:3.5.5.1
36,ec:1.8.1.4,ec:1.1.1.195,ec:5.3.1.1,,ec:1.4.1.3,ec:1.2.7.7,ec:2.4.1.143,ec:4.3.1.7,ec:2.2.1.9,ec:2.1.1.14,ec:5.4.4.2,ec:2.4.2.14,ec:3.7.1.2
37,ec:2.5.1.19,ec:6.2.1.12,ec:5.4.2.2,,ec:1.5.98.1,ec:2.1.3.3,ec:2.4.1.101,ec:2.7.8.20,ec:2.7.1.161,ec:2.6.1.37,ec:2.5.1.58,ec:3.5.4.2,ec:3.2.1.31
38,ec:1.1.1.1,ec:2.3.1.133,ec:5.4.2.8,,ec:2.3.1.9,ec:1.3.3.6,ec:3.1.6.4,ec:1.1.1.35,ec:6.1.1.17,ec:4.4.1.11,ec:4.1.1.33,ec:5.4.2.7,ec:1.8.99.5
39,ec:1.4.4.2,ec:1.11.1.21,ec:2.7.9.1,,ec:2.7.4.1,ec:1.18.1.2,ec:2.3.1.241,ec:2.3.1.15,ec:2.3.1.47,ec:6.3.2.3,ec:1.5.99.12,ec:2.4.2.4,ec:3.1.1.45
40,ec:5.1.1.7,,ec:2.3.1.54,,ec:2.3.1.101,ec:1.17.1.8,ec:2.7.8.42,ec:1.14.14.1,ec:5.4.3.8,ec:1.11.1.11,,ec:3.5.2.3,ec:1.14.13.24
41,ec:6.3.1.2,,ec:3.2.1.21,,ec:6.4.1.1,ec:1.1.1.42,ec:5.1.3.17,ec:3.1.3.27,ec:2.7.4.16,ec:2.5.1.18,,ec:1.17.4.1,ec:3.1.1.2
42,ec:4.2.1.9,,ec:1.1.1.37,,ec:2.3.1.30,ec:1.3.1.98,ec:3.1.3.82,ec:3.1.4.4,ec:1.4.3.16,ec:6.3.1.8,,ec:2.7.4.22,ec:2.4.2.3
43,ec:2.7.1.71,,ec:1.2.1.59,,ec:3.1.3.11,ec:1.4.1.3,ec:2.4.99.12,ec:2.3.1.199,ec:4.1.99.17,ec:3.4.11.2,,ec:6.3.2.6,ec:1.11.1.21
44,ec:1.1.1.3,,ec:5.4.2.10,,ec:5.3.1.6,ec:2.1.1.104,ec:5.3.1.13,ec:1.1.1.2,ec:6.3.1.5,ec:1.3.1.2,,ec:2.1.2.2,ec:4.1.3.17
45,ec:1.2.1.41,,ec:3.5.99.6,,ec:6.4.1.2,ec:1.5.98.1,ec:3.10.1.1,ec:2.3.1.158,ec:1.1.1.100,ec:1.14.13.39,,ec:2.4.2.22,
46,ec:1.2.7.7,,ec:1.8.1.4,,ec:4.2.1.17,ec:1.3.1.14,ec:2.3.1.191,ec:3.1.2.14,ec:6.3.5.11,ec:3.4.13.18,,ec:3.6.1.17,
47,ec:2.1.3.3,,ec:6.2.1.5,,ec:2.3.1.46,ec:1.3.1.9,ec:2.4.1.206,ec:2.3.3.10,ec:6.3.5.12,ec:1.13.11.20,,ec:3.5.4.5,
48,ec:4.2.1.10,,ec:5.3.1.25,,ec:2.7.8.28,ec:1.4.3.16,ec:2.4.1.145,ec:3.1.4.46,ec:2.1.1.163,ec:3.5.1.6,,ec:2.7.2.2,
49,ec:1.17.1.8,,ec:1.2.1.12,,ec:3.6.3.25,ec:1.1.1.100,ec:2.4.2.58,ec:1.1.1.6,ec:4.2.3.1,ec:3.5.5.1,,ec:3.5.1.5,
50,ec:2.3.1.1,,ec:1.1.1.1,,ec:2.5.1.77,ec:2.1.1.163,ec:3.2.1.31,ec:4.2.1.92,ec:2.8.1.10,ec:4.2.1.65,,ec:2.4.2.7,
51,ec:2.3.1.35,,ec:2.4.1.25,,ec:2.7.2.2,ec:1.11.1.15,ec:6.3.2.10,ec:1.14.19.2,ec:2.7.1.26,ec:3.1.2.4,,ec:2.7.7.4,
52,ec:4.1.99.1,,ec:6.3.1.2,,ec:1.5.1.20,ec:1.2.1.3,ec:2.4.1.132,ec:2.7.1.82,ec:2.7.7.2,ec:3.5.1.49,,ec:2.7.4.25,
53,ec:6.3.4.4,,ec:5.3.1.17,,ec:4.1.3.34,ec:1.1.1.44,ec:2.4.1.257,ec:5.3.3.14,ec:2.3.1.181,ec:4.3.2.9,,ec:2.7.4.8,
